E.T. the Extra-Terrestrial
"Elisa, vida mÃ_a"
Elite Squad
Elite Squad: The Enemy Within
Elizabeth
Elizabethan Express
Elizabethtown
Ella Enchanted
"Ella, Ã©l y sus millones"
Ellie
Elling
Ellos nos hicieron asÃ_
Elmer Gantry
Elmer's Candid Camera
Elmer's Pet Rabbit
Eloy
Elsa y Fred
Elsewhere
"Elvira FernÃ¡ndez, vendedora de tiendas"
Elvira's Haunted Hills
"Elvira, Mistress of the Dark"
Elvis and Anabelle
Elvis Has Left the Building
Elvis: That's the Way it Is
Elysium
Emanuelle and the Last Cannibals
Embrujada
Embrujo
Embrujo de amor
Embrujo en Cerros Blancos
Emerald City
The Emerald Forest
Emergency Act 19
Emergency Ward
The Emigrants
Emil and the Detectives
Emile
The Emoji Movie
Emiliano Zapata
Emma
Emmanuelle
Emmanuelle 2
Emotional Backgammon
Emperor
The Emperor and the Assassin
The Emperor Jones
Emperor of the North Pole
The Emperor Waltz
The Emperor's Club
The Emperor's New Groove
The Emperor's Shadow
Empire
Empire of the Ants
Empire Falls
Empire of Passion
Empire Records
The Empire Strikes Back
Empire of the Sun
Employee of the Month
Empress Chung
EMR
En carne viva
En Route
Enakku 20 Unakku 18
Enchanted
Enchanted April
The Enchanted Cottage
Enchantment
Encino Man
Encore
Encounters at the End of the World
Encrypt
The End
Ender's Game
The End of the Affair
End of Days
The End of Evangelion
End of the Line
End of the Spear
The End of Summer
The End of Violence
End of Watch
The End of the World and the Cat's Disappearance
Endgame
Endhiran
Endless Desire
Endless Love
Endless Nights In Aurora
The Endless Summer
Enduring Love
"Enemies, a Love Story"
The Enemy Below
Enemy at the Gates
Enemy Mine
Enemy of the State
L'Enfance Nue
L'Enfant
Les Enfants Terribles
The Enforcer
Engel & Joe
The English Patient
The English Teacher
The Englishman Who Went Up a Hill But Came Down a Mountain
Enigma
The Enigma of Kaspar Hauser
Enlightenment Guaranteed
Ennavale
Enough
Enough Said
Enron: The Smartest Guys in the Room
Ensign Pulver
Enter the Dragon
Enter the Ninja
Enter the Phoenix
Enter the Void
The Entertainer
The Entity
Entourage
Entr'acte
Entrapment
Entre Nous
Envy
Epic
Epic Movie
Epidemic
Episode
The Equation of Love and Death
Equilibrium
Equinox
Equinox Flower
Equus
Er Dong
Eragon
Erased
Eraser
Eraserhead
Das Erbe
Erik the Viking
Erin Brockovich
Ermo
Ernest in the Army
Ernest Goes to Camp
Ernest Goes To Jail
Ernest Rides Again
Ernest Saves Christmas
Ernst ThÃ_lmann
Eroica
Eros
Erotic Ghost Story
Erotic Liaisons
The Errand Boy
Es geschah am hellichten Tag
Escaflowne
Escape
Escape from the 'Liberty' Cinema
Escape 2000
Escapee 
Escape from Alcatraz
Escape at Dawn
Escape from Fort Bravo
Escape from Hong Kong Island
Escape from L.A.
Escape from Mars
Escape from New York
Escape from the Planet of the Apes
Escape from Planet Earth
Escape Me Never
Escape Plan 
Escape to Victory
Escape to Witch Mountain
The Escapist
Eskimo Limon
Esper Mami: Hoshizora no Dancing Doll
Est - Ouest
La estrategia del caracol
The Eternal Jew
Eternal Moment
Eternal Sunshine of the Spotless Mind
The Eternal Waltz
Eternity and a Day
Eulogy
Eureka
Europa
Europa '51
Europa Europa
Europa Report
EuroTrip
Eva
Evan Almighty
Evangelion: Death and Rebirth
Evangelion: 1.0 You Are  Alone
Evangelion: 2.0 You Can  Advance
Evangelion: 3.0 You Can  Redo
Eve's Bayou
Evelyn
Even Cowgirls Get the Blues
Even Dwarfs Started Small
Evening
Evening Bell
An Evening with Kevin Smith
The Evening Star
Evening â€“ Night â€“ Morning
Event Horizon
Ever After
Eveready Harton in Buried Treasure
Everest
Everlasting Moments
Everlasting Regret
Every Child
Every Girl Should Be Married
Every Little Step
Every Which Way but Loose
Everybody Famous!
Everybody Has Secrets
Everybody Wins
Everybody's All-American
Everybody's Fine
Everybody's Fine
Everyday
Everyman's Feast
Everynight ... Everynight
Everyone Says I Love You
Everyone's Hero
Everything Goes
Everything Is Illuminated
Everything Must Go
Everything You Always Wanted to Know About Sex* 
Everything's Gone Green
Evidence of the Film
Evil
Evil Alien Conquerors
Evil Aliens
The Evil Cult
The Evil Dead
Evil Dead
Evil Dead II
Evil Dead Trap
The Evil Eye
The Evil of Frankenstein
The Evil That Men Do
Evil Twin
Evil Under the Sun
Evilenko
Evita
Evolution
Evolver
Evrydiki BA 2O37
Ewoks: The Battle for Endor
The Ex
Ex Fighting
Ex-Files 2
Exam
Excalibur
Excess Baggage
Executive Action
Executive Decision
Executive Suite
eXistenZ
Exit to Eden
Exit Through the Gift Shop
Exit Wounds
Exodus
The Exorcism of Emily Rose
Dominion: Prequel to the Exorcist
The Exorcist
Exorcist: The Beginning
Exorcist II: The Heretic
The Exorcist III
Exotica
Expedition: Bismarck
Expelled: No Intelligence Allowed
The Expendables
The Expendables 2
The Experiment
Das Experiment
Experiment Perilous
Experiment in Terror
Experiments in the Revival of Organisms
The Exploits of Elaine
Explorers
The Express
The Expulsion
The Exterminating Angel
The Exterminator
The Extra
Extract
Extraordinary Measures
Extraordinary Mission
Extreme Measures
Extreme Ops
Extreme Prejudice
An Extremely Goofy Movie
Extremely Loud and Incredibly Close
Extremities
The Eye
The Eye 2
The Eye 10
The Eye
Eye of the Beholder
Eye of the Devil
Eye for an Eye
Eye of the Needle
Eyes of Laura Mars
Eyes Wide Shut
Eyes Without a Face
Eyewitness
Ezra
